CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;UF;UF_AJUSTADA
T07562;DISTRIBUICAO;Faixa 02 - De 7,5 M ate 15 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;7;3835,952381;1005444165;23;SP;SP
T09190;EDUCACIONAL;Faixa 08 - De 150 M ate 300 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2780,4;1743110747;318;MG;MG
T09444;DISTRIBUICAO;Faixa 08 - De 150 M ate 300 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;2;3876,368421;1173946928;77;SP;SP
T11510;EDUCACIONAL;Faixa 03 - De 15 M ate 25 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;3008,869565;490258680;36;MG;MG
T12562;EDUCACIONAL;Faixa 07 - De 75 M ate 150 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;7;3713,645161;773812273;326;SP;SP
T12953;SAUDE;Faixa 06 - De 50 M ate 75 M;PRIME;MODALIDADE CORPORATIVO;Sudeste;7;4000,085714;2372023172;889;RJ;RJ
T11687;VAREJO;Faixa 00 - Ate 4,5 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3681,576923;;10;SP;SP
T13630;VAREJO;Faixa 04 - De 25 M ate 35 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;3343,488372;;65;SP;SP
T13659;LOGISTICA;Faixa 08 - De 150 M ate 300 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2825,163265;4148016915;115;SP;SP
T13935;VAREJO;Faixa 06 - De 50 M ate 75 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2952,535714;1119679339;442;SP;SP
T11910;VAREJO;Faixa 05 - De 35 M ate 50 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;6;3786,607843;585699625;10;SP;SP
T13830;VAREJO;Faixa 04 - De 25 M ate 35 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;3422,659091;388771794;18;SP;SP
T13777;VAREJO;Faixa 03 - De 15 M ate 25 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;4126,325581;573267717;68;MG;MG
T13454;VAREJO;Faixa 03 - De 15 M ate 25 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;3146,928571;646232228;11;SP;SP
T13937;EDUCACIONAL;Faixa 07 - De 75 M ate 150 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2868,77907;1235565448;255;SP;SP
T13875;SERVICOS;Faixa 08 - De 150 M ate 300 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;3069,382353;13611998494;351;SP;SP
T14431;SERVICOS;Faixa 05 - De 35 M ate 50 M;FLUIG - CORE;MODALIDADE CORPORATIVO;Sudeste;8;3389,309859;431640471;203;SP;SP
T14772;LOGISTICA;Faixa 06 - De 50 M ate 75 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;3155,272727;617292398;76;SP;SP
T15034;DISTRIBUICAO;Faixa 06 - De 50 M ate 75 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3187,72549;751739120;152;SP;SP
T16313;CONSTRUCAO E PROJETOS;Faixa 03 - De 15 M ate 25 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;4487,096154;351393664;50;SP;SP
T13640;DISTRIBUICAO;Faixa 00 - Ate 4,5 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2982,615385;182394260;45;SP;SP
T15691;LOGISTICA;Faixa 00 - Ate 4,5 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;3300,575;176559006;107;SP;SP
T15225;DISTRIBUICAO;Faixa 07 - De 75 M ate 150 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;3238,590909;1652390397;35;MG;MG
T16447;LOGISTICA;Faixa 00 - Ate 4,5 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;7;3809,547619;140750494;42;SP;SP
T16236;LOGISTICA;Faixa 00 - Ate 4,5 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3377,883721;120269488;135;SP;SP
T16590;SAUDE;Faixa 02 - De 7,5 M ate 15 M;SAUDE - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3782,840909;740962140;56;ES;ES
T20957;EDUCACIONAL;Faixa 02 - De 7,5 M ate 15 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2951,851852;767317013;147;SP;SP
T16658;VAREJO;Faixa 09 - De 300 M ate 500 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;5393,090909;;1;SP;SP
T17275;SERVICOS;Faixa 03 - De 15 M ate 25 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2289,205882;819905089;39;SP;SP
T17987;SERVICOS;Faixa 07 - De 75 M ate 150 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2619,644068;1617378631;204;SP;SP
T16523;CONSTRUCAO E PROJETOS;Faixa 03 - De 15 M ate 25 M;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;3463,55102;548148168;4;SP;SP
T16606;SERVICOS;Faixa 02 - De 7,5 M ate 15 M;SERVICOS - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;3357,377778;;48;MG;MG
T38502;SAUDE;Faixa 10 - De 500 M ate 850 M;PRIME;MODALIDADE CORPORATIVO;Sudeste;8;2409,277778;6761687927;125;SP;SP
T35043;EDUCACIONAL;Faixa 00 - Ate 4,5 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;9;2619,724138;493793494;84;SP;SP
T40143;EDUCACIONAL;Faixa 07 - De 75 M ate 150 M;EDUCACIONAL - CORE;MODALIDADE CORPORATIVO;Sudeste;9;2962,655172;2265715790;343;SP;SP
T33271;CONSTRUCAO E PROJETOS;Faixa 05 - De 35 M ate 50 M;CONSTRUCAO - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;10;2441,0625;3482608765;167;ES;ES
T42892;VAREJO;Sem Informações de Faturamento;CROSS - TRADICIONAL;MODALIDADE CORPORATIVO;Sudeste;6;1876,980392;1332776782;550;SP;SP
T37248;EDUCACIONAL;Faixa 07 - De 75 M ate 150 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;8;2697,545455;1132529775;832;MG;MG
T36286;EDUCACIONAL;Faixa 05 - De 35 M ate 50 M;EDUCACIONAL - CORPORATIVO;MODALIDADE CORPORATIVO;Sudeste;6;2690,391304;882921707;16;RJ;RJ
T36739;CONSTRUCAO E PROJETOS;Faixa 05 - De 35 M ate 50 M;FLUIG - CORE;MODALIDADE CORPORATIVO;Sudeste;9;2811,491228;925499817;395;SP;SP
