CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;UF;UF_AJUSTADA
TFBO08;LOGISTICA;Faixa 00 - Ate 4,5 M;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Centro-Oeste;;2321;155963108;;MT;MT
TFCH82;HOSPITALITY;Faixa 00 - Ate 4,5 M;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;2283;190333495;;PR;PR
TFCH83;HOSPITALITY;Faixa 02 - De 7,5 M ate 15 M;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;2283;190333495;;PR;PR
TFCPV1;MANUFATURA;Faixa 00 - Ate 4,5 M;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;1233,25;33536433;;SP;SP
TFDAO5;CONSTRUCAO E PROJETOS;Faixa 02 - De 7,5 M ate 15 M;CROSS - TRADICIONAL;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;1228,611111;57067964;;PR;PR
TFDUQJ;EDUCACIONAL;Faixa 06 - De 50 M ate 75 M;EDUCACIONAL - PARCEIRO;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;401,1702128;1607526337;;MG;MG
TFDUSS;SAUDE;Faixa 05 - De 35 M ate 50 M;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;414,24;913012309;;RJ;RJ
TFDUUO;SERVICOS;Faixa 02 - De 7,5 M ate 15 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;389;1031911391;;MG;MG
TFDV48;MANUFATURA;Faixa 09 - De 300 M ate 500 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;388;789417302;;PR;PR
TFDVDF;MANUFATURA;Faixa 06 - De 50 M ate 75 M;DIGITAL COMMERCE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;377,7666667;950147516;;SP;SP
TFDUBB;EDUCACIONAL;Faixa 01 - De 4,5 M ate 7,5 M;EDUCACIONAL - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;283,1428571;567956849;;SP;SP
TFEBFR;SERVICOS;Faixa 06 - De 50 M ate 75 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;331;1473201277;;SP;SP
TFDUTI;CONSTRUCAO E PROJETOS;Faixa 00 - Ate 4,5 M;CLOUD INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Nordeste;;382,8181818;555065649;;PE;PE
TFEBPU;MANUFATURA;Faixa 11 - Acima de 850 M;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;320,4193548;2664314907;;SC;SC
TFDVB6;MANUFATURA;Faixa 02 - De 7,5 M ate 15 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;325,4210526;419619679;;RJ;RJ
TFEBS5;DISTRIBUICAO;Faixa 02 - De 7,5 M ate 15 M;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Nordeste;;317,3684211;470421308;;PE;PE
TFDVHX;DISTRIBUICAO;Faixa 09 - De 300 M ate 500 M;SUPERMERCADOS - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Nordeste;;355,6455696;511947053;;RN;RN
TFEBZ4;SERVICOS;Faixa 05 - De 35 M ate 50 M;GOODDATA;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;303;388385888;;SC;SC
TFECQ5;AGROINDUSTRIA;Faixa 08 - De 150 M ate 300 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Centro-Oeste;;273;899517017;;MT;MT
TFDUEW;LOGISTICA;Faixa 05 - De 35 M ate 50 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;425,1111111;622965804;;SP;SP
TFED07;SERVICOS;Faixa 00 - Ate 4,5 M;CROSS - TRADICIONAL;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;256,8235294;703757252;;SP;SP
TFEDEH;SERVICOS;Faixa 03 - De 15 M ate 25 M;DISTRIBUICAO & VAREJO - PARCEIRO;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;240;572028480;;SP;SP
TFECW9;EDUCACIONAL;Faixa 00 - Ate 4,5 M;CROSS - TRADICIONAL;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;266;728072222;;RJ;RJ
TFEDH5;SERVICOS;Faixa 02 - De 7,5 M ate 15 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;238;1690467175;;RJ;RJ
TFEDHL;CONSTRUCAO E PROJETOS;Faixa 06 - De 50 M ate 75 M;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;235;746687627;;RJ;RJ
TFDUGN;LOGISTICA;Faixa 04 - De 25 M ate 35 M;CLOUD;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;434;1117218589;;RJ;RJ
TFDUQH;MANUFATURA;Faixa 06 - De 50 M ate 75 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;411,1621622;933750941;;SP;SP
TFDUPG;SERVICOS;Faixa 01 - De 4,5 M ate 7,5 M;CLOUD INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;530,4444444;1280983265;;RJ;RJ
TFDTZU;EDUCACIONAL;Faixa 05 - De 35 M ate 50 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;457;1334237066;;RJ;RJ
TFECWL;VAREJO;Faixa 02 - De 7,5 M ate 15 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;266;233398655;;RS;RS
TFECBT;LOGISTICA;Faixa 00 - Ate 4,5 M;CLOUD;MODALIDADE ASSINATURA COMPLEMENTAR;Nordeste;;281,7142857;1083460439;;AL;AL
TFEDJG;SERVICOS;Faixa 04 - De 25 M ate 35 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Centro-Oeste;;231,6666667;833725808;;DF;DF
TFEDZU;VAREJO;Faixa 02 - De 7,5 M ate 15 M;FLUIG - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;203;1698263369;;SP;SP
TFDVHC;SERVICOS;Faixa 00 - Ate 4,5 M;CLOUD;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;284,2222222;781331932;;SP;SP
TFEDDS;MANUFATURA;Faixa 02 - De 7,5 M ate 15 M;CLOUD INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;245;1023594227;;SC;SC
TFEDTN;CONSTRUCAO E PROJETOS;Faixa 03 - De 15 M ate 25 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;213;949819533;;SP;SP
TFEBLG;EDUCACIONAL;Faixa 00 - Ate 4,5 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;283,6;620734141;;MG;MG
TFEC85;SERVICOS;Faixa 02 - De 7,5 M ate 15 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Nordeste;;296;409757544;;BA;BA
TFECBJ;SERVICOS;Faixa 02 - De 7,5 M ate 15 M;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;286,1428571;1578921471;;SP;SP
TFEDHK;LOGISTICA;Faixa 04 - De 25 M ate 35 M;CROSS - TRADICIONAL;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;235;1220176607;;MG;MG
TFDVL8;MANUFATURA;Faixa 03 - De 15 M ate 25 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;328,5555556;1479849912;;RS;RS
TFDURW;EDUCACIONAL;Faixa 03 - De 15 M ate 25 M;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;355,375;531250263;;SP;SP
TFEDEU;MANUFATURA;Faixa 07 - De 75 M ate 150 M;CROSS - INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;242;668906573;;PR;PR
TFEDIF;VAREJO;Faixa 08 - De 150 M ate 300 M;LOGISTICA - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Nordeste;;215,5806452;1516851830;;BA;BA
TFEBR2;MANUFATURA;Faixa 01 - De 4,5 M ate 7,5 M;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Nordeste;;293,7692308;904549340;;PE;PE
TFEDWL;CONSTRUCAO E PROJETOS;Faixa 02 - De 7,5 M ate 15 M;CLOUD INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;206;656717139;;SP;SP
TFEBTA;CONSTRUCAO E PROJETOS;Faixa 02 - De 7,5 M ate 15 M;CLOUD INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;322;953825359;;MG;MG
TFEDFX;SERVICOS;Faixa 00 - Ate 4,5 M;CLOUD INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;234,8461538;936774964;;SP;SP
TFEDI1;VAREJO;Faixa 04 - De 25 M ate 35 M;CLOUD;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;343;1082134742;;SP;SP
TFDUQA;LOGISTICA;Faixa 01 - De 4,5 M ate 7,5 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;409,5;926230901;;SP;SP
TFDUHU;MANUFATURA;Faixa 00 - Ate 4,5 M;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;415,125;664262335;;SP;SP
TFDVIM;SERVICOS;Faixa 02 - De 7,5 M ate 15 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;309;803293129;;SP;SP
TFDUP0;DISTRIBUICAO;Faixa 02 - De 7,5 M ate 15 M;FLUIG - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;410,5714286;1043887766;;RS;RS
TFECV2;VAREJO;Faixa 03 - De 15 M ate 25 M;BACKOFFICE - PARCEIRO;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;266;976316796;;RS;RS
TFECAS;LOGISTICA;Faixa 00 - Ate 4,5 M;CLOUD INTERA;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;265,2222222;912585586;;PR;PR
TFEDSS;CONSTRUCAO E PROJETOS;Faixa 07 - De 75 M ate 150 M;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Nordeste;;217;324541992;;BA;BA
TFEC92;VAREJO;Faixa 00 - Ate 4,5 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;295;954251099;;SP;SP
TFECV1;SERVICOS;Faixa 02 - De 7,5 M ate 15 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;266;967568219;;SC;SC
TFBO04;VAREJO;Faixa 00 - Ate 4,5 M;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Centro-Oeste;;3007;142410923;;MS;MS
TFEBNH;MANUFATURA;Faixa 02 - De 7,5 M ate 15 M;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;228,2857143;1189638035;;MG;MG
TFECYG;SERVICOS;Faixa 01 - De 4,5 M ate 7,5 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sul;;263;955604041;;RS;RS
TFBOEL;VAREJO;Faixa 00 - Ate 4,5 M;DISTRIBUICAO & VAREJO - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;4299;104433841;;SP;SP
TFDUZI;MANUFATURA;Faixa 01 - De 4,5 M ate 7,5 M;BACKOFFICE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;Sudeste;;392;1154448363;;SP;SP
T60859;VAREJO;Sem Informações de Faturamento;FLUIG - CORE;MODALIDADE TRADICIONAL;Sudeste;;2362,4;0;;SP;SP
T52004;SERVICOS;Sem Informações de Faturamento;RH - CORE;MODALIDADE TRADICIONAL;Sudeste;;312;18008273;;SP;SP
TAAJWO;MANUFATURA;Sem Informações de Faturamento;MANUFATURA - PARCEIRO;MODALIDADE TRADICIONAL;Sul;;2679,4;144064574;;RS;RS
TA2588;HOSPITALITY;Sem Informações de Faturamento;HOSPITALIDADE - CORE;MODALIDADE SERVICOS RECORRENTES;Sudeste;;6041;68440899;;RJ;RJ
TDC0CA;DISTRIBUICAO;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Sudeste;;2912;439967304;;MG;MG
TDC0DX;DISTRIBUICAO;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Sudeste;;3461;22822741;;MG;MG
TDC1GL;VAREJO;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Norte;;747;10803050;;AP;AP
TDC05E;LOGISTICA;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Sudeste;;592,2857143;266063488;;ES;ES
TB5440;MANUFATURA;Sem Informações de Faturamento;EDUCACAO EMPRESARIAL;MODALIDADE SERVICOS RECORRENTES;Sudeste;;784;265282963;;RJ;RJ
TDC0I8;LOGISTICA;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Norte;;1969;633378374;;RR;RR
TDC0P7;LOGISTICA;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Norte;;2060;603341813;;AM;AM
TEZHEC;SERVICOS;Sem Informações de Faturamento;SERVICOS - CORE;MODALIDADE TRADICIONAL;Sudeste;;3849,777778;88007753;;SP;SP
TFBYLO;HOSPITALITY;Sem Informações de Faturamento;HOSPITALIDADE - CORE;MODALIDADE SERVICOS RECORRENTES;Nordeste;;4754,142857;582446162;;CE;CE
TFD054;VAREJO;Sem Informações de Faturamento;PRIME;MODALIDADE SERVICOS RECORRENTES;Sul;;939,9230769;36126904494;;PR;PR
TFCQSS;SERVICOS;Sem Informações de Faturamento;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;Sudeste;;1848;468625969;;SP;SP
TFDA81;SERVICOS;Sem Informações de Faturamento;CLOUD;MODALIDADE ASSINATURA (INTERA);Sudeste;;830,8888889;320527197;;SP;SP
TFDCEK;SERVICOS;Sem Informações de Faturamento;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;Nordeste;;1211;663373543;;RN;RN
TFDCXV;SERVICOS;Sem Informações de Faturamento;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;Sudeste;;1179;517326040;;MG;MG
TFCG46;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Centro-Oeste;;1158;109392557;;GO;GO
TFCRAA;SERVICOS;Sem Informações de Faturamento;AMS;MODALIDADE SERVICOS RECORRENTES;Sudeste;;798,6;713745658;;SP;SP
TFDBQQ;VAREJO;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Sudeste;;1241;13543211;;ES;ES
TFCG64;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sul;;1148;109392557;;RS;RS
TFDAGQ;MANUFATURA;Sem Informações de Faturamento;FLUIG - CORE;MODALIDADE TRADICIONAL;Sul;;1101,416667;528117619;;SC;SC
TFCVYN;DISTRIBUICAO;Sem Informações de Faturamento;ACT;;Sudeste;;479;459932363;;SP;SP
TFDANF;SERVICOS;Sem Informações de Faturamento;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;Sudeste;;1582;732889910;;SP;SP
TFDIC4;DISTRIBUICAO;Sem Informações de Faturamento;BUSINESS AGILITY;MODALIDADE SERVICOS RECORRENTES;Sudeste;;934;784988226;;SP;SP
TFDEPO;SERVICOS;Sem Informações de Faturamento;EDUCACIONAL - CORE;MODALIDADE SERVICOS RECORRENTES;Centro-Oeste;;1099;73312361;;DF;DF
TFEBQ6;VAREJO;Sem Informações de Faturamento;CROSS - INTERA;MODALIDADE ASSINATURA (INTERA);Sudeste;;326;2188538771;;SP;SP
TFECUT;SERVICOS;Sem Informações de Faturamento;RH - CORE;MODALIDADE SERVICOS RECORRENTES;Sul;;239,5806452;565280929;;PR;PR
TFEDI2;LOGISTICA;Sem Informações de Faturamento;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;Sudeste;;235;254191280;;MG;MG
TFEDIU;EDUCACIONAL;Sem Informações de Faturamento;EDUCACIONAL - CORE;MODALIDADE CORPORATIVO;Sudeste;;229,9411765;858251112;;ES;ES
TFEDMO;MANUFATURA;Sem Informações de Faturamento;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;Sudeste;;224;2150558905;;ES;ES
TFEBMF;VAREJO;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE SERVICOS RECORRENTES;Sudeste;;329;803054177;;MG;MG
TFECAJ;LOGISTICA;Sem Informações de Faturamento;RH - CORE;MODALIDADE TRADICIONAL;Sudeste;;295;1689393650;;ES;ES
TFECPW;MANUFATURA;Sem Informações de Faturamento;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);Sudeste;;270;1186060027;;SP;SP
TFDU80;SERVICOS;Sem Informações de Faturamento;JURIDICO - CORE;MODALIDADE SERVICOS RECORRENTES;Sul;;451;2276201693;;RS;RS
TFDULJ;MANUFATURA;Sem Informações de Faturamento;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;Sudeste;;422;162733420;;SP;SP
TFDVM0;CONSTRUCAO E PROJETOS;Sem Informações de Faturamento;CLOUD;MODALIDADE ASSINATURA (INTERA);Sudeste;;357;777235214;;SP;SP
TFEBNY;SERVICOS;Sem Informações de Faturamento;CROSS - INTERA;MODALIDADE SERVICOS NÃO RECORRENTES;Sudeste;;326;699671306;;SP;SP
TFECH9;MANUFATURA;Sem Informações de Faturamento;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;Sul;;277,1428571;1538941098;;SC;SC
TFEBPL;SERVICOS;Sem Informações de Faturamento;RH - CORE;MODALIDADE TRADICIONAL;Sudeste;;326;914075255;;SP;SP
TFECQ6;SERVICOS;Sem Informações de Faturamento;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);Sudeste;;270;1848597512;;SP;SP
TFECRP;SERVICOS;Sem Informações de Faturamento;CLOUD INTERA;MODALIDADE ASSINATURA (INTERA);Sudeste;;268;567972933;;MG;MG
TFDUMF;MANUFATURA;Sem Informações de Faturamento;CROSS - INTERA;MODALIDADE ASSINATURA (INTERA);Sudeste;;421;274084669;;SP;SP
TFEE13;JURIDICO;Sem Informações de Faturamento;CLOUD;MODALIDADE SERVICOS RECORRENTES;Sudeste;;203;410523067;;SP;SP
TFDVFX;VAREJO;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Sul;;371;93486080;;PR;PR
TFDRG1;JURIDICO;Sem Informações de Faturamento;JURIDICO - PARCEIRO;MODALIDADE CORPORATIVO;Sudeste;;620,5;686599768;;SP;SP
TFDUMU;JURIDICO;Sem Informações de Faturamento;CLOUD;MODALIDADE SERVICOS RECORRENTES;Sudeste;;407,4736842;366733254;;SP;SP
TFDU84;CONSTRUCAO E PROJETOS;Sem Informações de Faturamento;CLOUD;MODALIDADE ASSINATURA (INTERA);Sul;;400,6;468226256;;PR;PR
TFEDM0;EDUCACIONAL;Sem Informações de Faturamento;CROSS - TRADICIONAL;MODALIDADE SERVICOS NÃO RECORRENTES;Sul;;225;153686719;;PR;PR
TFDVRR;VAREJO;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Norte;;339;104949018;;AC;AC
TFEDC1;LOGISTICA;Sem Informações de Faturamento;CROSS - INTERA;MODALIDADE ASSINATURA (INTERA);Sudeste;;248;545131600;;SP;SP
TFDSLD;VAREJO;Sem Informações de Faturamento;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;Nordeste;;513;208886615;;BA;BA
TFDUP5;DISTRIBUICAO;Sem Informações de Faturamento;BACKOFFICE - CORE;MODALIDADE ASSINATURA (INTERA);Sudeste;;420;987567075;;SP;SP
TFDVK4;SERVICOS;Sem Informações de Faturamento;CLOUD;MODALIDADE ASSINATURA (INTERA);Sudeste;;358;2302671841;;SP;SP
TFDHTB;DISTRIBUICAO;Sem Informações de Faturamento;BUSINESS AGILITY;MODALIDADE SERVICOS RECORRENTES;Sudeste;;966;850403911;;SP;SP
TFEDGF;SERVICOS;Sem Informações de Faturamento;CLOUD;MODALIDADE ASSINATURA (INTERA);Sudeste;;239;899085281;;SP;SP
TFCJ06;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;1135,695652;15694400;;ES;ES
TFCPU7;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;1395,333333;25299645;;SP;SP
TFCUHA;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;1244,892857;21863709;;SP;SP
TFDCWN;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;1170,368421;52183936;;SP;SP
TFDHLU;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Nordeste;;929,7777778;28086577;;PE;PE
TFCZHM;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sul;;1160,851852;18461678;;PR;PR
TFDOYN;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;569;49392586;;SP;SP
TFDNRQ;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;777,5;26231560;;SP;SP
TFDCJ4;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Nordeste;;1200;28286397;;BA;BA
TFDRCD;VAREJO;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;565,75;30131952;;SP;SP
TFDRCE;VAREJO;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;566,6666667;28321279;;SP;SP
TFDFM5;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;1053,142857;49462262;;RJ;RJ
TFDTSW;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;469,6666667;25974865;;SP;SP
TFDVQI;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;336,6923077;36081436;;SP;SP
TFECY8;VAREJO;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;229,5;29754061;;MG;MG
TFED34;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Nordeste;;255,125;73622154;;RN;RN
TFDUT7;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;403,4761905;94645841;;MG;MG
TFEBNZ;VAREJO;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;318,3125;29085873;;SP;SP
TFDACG;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Nordeste;;951,7692308;23921437;;PE;PE
TFDPWS;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sul;;675,5714286;14074801;;SC;SC
TFDU66;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;451;32115663;;SP;SP
TFDUHZ;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Nordeste;;420,7647059;31880880;;CE;CE
TFDUN3;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;420;27495854;;SP;SP
TFDATZ;HOSPITALITY;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Nordeste;;1228,833333;52463539;;BA;BA
TFDUZ8;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;367,3529412;53283236;;MG;MG
TFDVIW;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sul;;360;27022920;;PR;PR
TFDQUA;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;602;29221766;;SP;SP
TFDQUD;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;602;29221766;;SP;SP
TFDVQE;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;343;25475375;;SP;SP
TFDVQJ;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;344;29367446;;SP;SP
TFEBO4;VAREJO;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;317,2142857;32241016;;SP;SP
TFEBQ0;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;325;36179447;;MG;MG
TFEBR0;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;323;25538433;;SP;SP
TFEBVO;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;315;25538433;;SP;SP
TFDTMO;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;479,0909091;20667442;;SP;SP
TFEC01;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Nordeste;;282;46300817;;SE;SE
TFEC42;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sul;;296;25538433;;SC;SC
TFECMM;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;274;25643529;;ES;ES
TFDU15;VAREJO;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;454,4444444;28838990;;SP;SP
TFECTF;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;267;42739216;;MG;MG
TFECUH;MANUFATURA;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;265;32317153;;SP;SP
TFDVC9;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sul;;366,6;37143518;;PR;PR
TFDUL2;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;406,8461538;34719875;;SP;SP
TFDIDL;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sul;;876,8888889;72312127;;SC;SC
TFDEY9;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;825,5;49901727;;MG;MG
TFDUKD;SERVICOS;Sem Informações de Faturamento;MICRO E PEQUENOS NEGOCIOS;MPN;Sudeste;;400,7272727;35956117;;ES;ES
